Streaming output truncated to the last 5000 lines.
[2022/11/04 02:11:33] ppocr INFO: epoch: [14/500], global_step: 33740, lr: 0.000999, acc: 0.914062, norm_edit_dis: 0.980215, CTCLoss: 0.342610, SARLoss: 0.676604, loss: 1.004207, avg_reader_cost: 0.31429 s, avg_batch_cost: 0.74119 s, avg_samples: 128.0, ips: 172.69458 samples/s, eta: 13 days, 11:59:21
[2022/11/04 02:14:16] ppocr INFO: epoch: [14/500], global_step: 33910, lr: 0.000999, acc: 0.867187, norm_edit_dis: 0.968756, CTCLoss: 0.521573, SARLoss: 0.753722, loss: 1.280003, avg_reader_cost: 0.67066 s, avg_batch_cost: 1.09994 s, avg_samples: 128.0, ips: 116.36997 samples/s, eta: 13 days, 11:57:48
[2022/11/04 02:14:26] ppocr INFO: epoch: [14/500], global_step: 33920, lr: 0.000999, acc: 0.851562, norm_edit_dis: 0.966820, CTCLoss: 0.627945, SARLoss: 0.753722, loss: 1.399869, avg_reader_cost: 0.51183 s, avg_batch_cost: 0.92118 s, avg_samples: 128.0, ips: 138.95262 samples/s, eta: 13 days, 11:57:29
[2022/11/04 02:14:36] ppocr INFO: epoch: [14/500], global_step: 33930, lr: 0.000999, acc: 0.867187, norm_edit_dis: 0.968463, CTCLoss: 0.541081, SARLoss: 0.711983, loss: 1.272478, avg_reader_cost: 0.67696 s, avg_batch_cost: 1.09434 s, avg_samples: 128.0, ips: 116.96515 samples/s, eta: 13 days, 11:58:13
[2022/11/04 02:14:45] ppocr INFO: epoch: [14/500], global_step: 33940, lr: 0.000999, acc: 0.882812, norm_edit_dis: 0.971055, CTCLoss: 0.488630, SARLoss: 0.720851, loss: 1.214821, avg_reader_cost: 0.41731 s, avg_batch_cost: 0.83343 s, avg_samples: 128.0, ips: 153.58134 samples/s, eta: 13 days, 11:57:22
[2022/11/04 02:14:55] ppocr INFO: epoch: [14/500], global_step: 33950, lr: 0.000999, acc: 0.890625, norm_edit_dis: 0.971935, CTCLoss: 0.473951, SARLoss: 0.684926, loss: 1.142515, avg_reader_cost: 0.61568 s, avg_batch_cost: 1.03440 s, avg_samples: 128.0, ips: 123.74269 samples/s, eta: 13 days, 11:57:44
[2022/11/04 02:15:04] ppocr INFO: epoch: [14/500], global_step: 33960, lr: 0.000999, acc: 0.898437, norm_edit_dis: 0.978044, CTCLoss: 0.491843, SARLoss: 0.695302, loss: 1.150401, avg_reader_cost: 0.48676 s, avg_batch_cost: 0.91513 s, avg_samples: 128.0, ips: 139.87069 samples/s, eta: 13 days, 11:57:23
[2022/11/04 02:15:14] ppocr INFO: epoch: [14/500], global_step: 33970, lr: 0.000999, acc: 0.906250, norm_edit_dis: 0.979441, CTCLoss: 0.407365, SARLoss: 0.696380, loss: 1.106553, avg_reader_cost: 0.55438 s, avg_batch_cost: 0.98871 s, avg_samples: 128.0, ips: 129.46156 samples/s, eta: 13 days, 11:57:28
[2022/11/04 02:15:23] ppocr INFO: epoch: [14/500], global_step: 33980, lr: 0.000999, acc: 0.914062, norm_edit_dis: 0.980664, CTCLoss: 0.351358, SARLoss: 0.683257, loss: 1.087993, avg_reader_cost: 0.39980 s, avg_batch_cost: 0.85602 s, avg_samples: 128.0, ips: 149.52855 samples/s, eta: 13 days, 11:56:46
[2022/11/04 02:15:33] ppocr INFO: epoch: [14/500], global_step: 33990, lr: 0.000999, acc: 0.906250, norm_edit_dis: 0.976462, CTCLoss: 0.399016, SARLoss: 0.682029, loss: 1.072540, avg_reader_cost: 0.64196 s, avg_batch_cost: 1.05581 s, avg_samples: 128.0, ips: 121.23442 samples/s, eta: 13 days, 11:57:15
[2022/11/04 02:15:41] ppocr INFO: epoch: [14/500], global_step: 34000, lr: 0.000999, acc: 0.906250, norm_edit_dis: 0.975867, CTCLoss: 0.370277, SARLoss: 0.684715, loss: 1.058121, avg_reader_cost: 0.39906 s, avg_batch_cost: 0.80922 s, avg_samples: 128.0, ips: 158.17733 samples/s, eta: 13 days, 11:56:16
eval model:: 100% 279/279 [00:26<00:00, 10.66it/s]
[2022/11/04 02:16:08] ppocr INFO: cur metric, acc: 0.9673019167062499, norm_edit_dis: 0.9851408496865454, fps: 3818.4529739381182
[2022/11/04 02:16:08] ppocr INFO: save best model is to ./output/v3_korean_mobile/best_accuracy
[2022/11/04 02:16:08] ppocr INFO: best metric, acc: 0.9673019167062499, is_float16: False, norm_edit_dis: 0.9851408496865454, fps: 3818.4529739381182, best_epoch: 14
[2022/11/04 02:16:13] ppocr INFO: epoch: [14/500], global_step: 34010, lr: 0.000999, acc: 0.917969, norm_edit_dis: 0.981692, CTCLoss: 0.344548, SARLoss: 0.701790, loss: 1.052383, avg_reader_cost: 0.04355 s, avg_batch_cost: 0.47422 s, avg_samples: 128.0, ips: 269.91685 samples/s, eta: 13 days, 11:53:15
[2022/11/04 02:16:21] ppocr INFO: epoch: [14/500], global_step: 34020, lr: 0.000999, acc: 0.910156, norm_edit_dis: 0.982073, CTCLoss: 0.354178, SARLoss: 0.696987, loss: 1.039012, avg_reader_cost: 0.41622 s, avg_batch_cost: 0.83153 s, avg_samples: 128.0, ips: 153.93335 samples/s, eta: 13 days, 11:52:24
[2022/11/04 02:16:32] ppocr INFO: epoch: [14/500], global_step: 34030, lr: 0.000999, acc: 0.902344, norm_edit_dis: 0.979996, CTCLoss: 0.362519, SARLoss: 0.672098, loss: 1.046187, avg_reader_cost: 0.60184 s, avg_batch_cost: 1.02455 s, avg_samples: 128.0, ips: 124.93347 samples/s, eta: 13 days, 11:52:42
[2022/11/04 02:16:40] ppocr INFO: epoch: [14/500], global_step: 34040, lr: 0.000999, acc: 0.906250, norm_edit_dis: 0.974898, CTCLoss: 0.407240, SARLoss: 0.672098, loss: 1.089326, avg_reader_cost: 0.45881 s, avg_batch_cost: 0.87813 s, avg_samples: 128.0, ips: 145.76510 samples/s, eta: 13 days, 11:52:08
[2022/11/04 02:16:51] ppocr INFO: epoch: [14/500], global_step: 34050, lr: 0.000999, acc: 0.906250, norm_edit_dis: 0.978268, CTCLoss: 0.355727, SARLoss: 0.692824, loss: 1.054950, avg_reader_cost: 0.62277 s, avg_batch_cost: 1.04026 s, avg_samples: 128.0, ips: 123.04588 samples/s, eta: 13 days, 11:52:32
[2022/11/04 02:17:01] ppocr INFO: epoch: [14/500], global_step: 34060, lr: 0.000999, acc: 0.910156, norm_edit_dis: 0.979880, CTCLoss: 0.338169, SARLoss: 0.692430, loss: 1.053685, avg_reader_cost: 0.57282 s, avg_batch_cost: 1.00602 s, avg_samples: 128.0, ips: 127.23388 samples/s, eta: 13 days, 11:52:44
[2022/11/04 02:17:11] ppocr INFO: epoch: [14/500], global_step: 34070, lr: 0.000999, acc: 0.902344, norm_edit_dis: 0.978159, CTCLoss: 0.408136, SARLoss: 0.682639, loss: 1.087833, avg_reader_cost: 0.56569 s, avg_batch_cost: 0.98870 s, avg_samples: 128.0, ips: 129.46273 samples/s, eta: 13 days, 11:52:49
[2022/11/04 02:17:19] ppocr INFO: epoch: [14/500], global_step: 34080, lr: 0.000999, acc: 0.898437, norm_edit_dis: 0.975857, CTCLoss: 0.428978, SARLoss: 0.696533, loss: 1.141315, avg_reader_cost: 0.42635 s, avg_batch_cost: 0.86362 s, avg_samples: 128.0, ips: 148.21399 samples/s, eta: 13 days, 11:52:10
